,nasdaq100,nifty50,gold
2009-02-25,57753.61069830693,2762.5,48045.5059463745
2009-02-26,56571.40348804928,2785.64990234375,47270.826251928695
2009-02-27,56575.54470976256,2763.64990234375,47686.97643661499
2009-03-02,55498.0356295011,2674.60009765625,48401.695346832275
2009-03-03,56074.887844319455,2622.39990234375,47369.46931110229
2009-03-04,57104.951230352744,2645.199951171875,46597.39128112793
2009-03-05,55545.16422221437,2576.699951171875,47919.41173553467
2009-03-06,54900.187404940836,2620.14990234375,48578.44236484682
2009-03-09,54058.89413102204,2573.14990234375,47524.92938392027
2009-03-12,60130.47987373173,2617.449951171875,47687.85951540526
2009-03-13,60165.92543130368,2719.25,47874.47009595949
2009-03-16,58748.9842235595,2777.25,47267.94249782711
2009-03-17,61152.36022124626,2757.449951171875,47006.737574340776
2009-03-18,61832.5582463257,2794.699951171875,45528.10121855163
2009-03-19,60588.61898237094,2807.14990234375,48215.90479620057
2009-03-20,60057.06604255317,2807.050048828125,48352.010978387436
2009-03-23,63373.48626399785,2939.89990234375,47894.43798543699
2009-03-24,62121.860707401764,2938.699951171875,46467.840968515025
2009-03-25,62323.95495001646,2984.35009765625,47141.3544309265
2009-03-26,64508.33311854862,3082.25,47305.101001684554
2009-03-27,63731.107303260826,3108.64990234375,47003.774295806885
2009-03-30,61997.61849995516,2978.14990234375,46492.752363204956
2009-03-31,62522.19601757079,3020.949951171875,46630.969890307635
2009-04-01,62927.35681490693,3060.35009765625,46528.189919119235
2009-04-02,64518.268280999735,3211.050048828125,45232.07602930907
2009-04-06,65455.40702199098,3256.60009765625,43442.53162765503
2009-04-08,64816.374881744385,3342.949951171875,44089.5850118408
2009-04-09,66515.41508523189,3342.050048828125,43781.820751989726
2009-04-13,66476.61357988045,3382.60009765625,44496.117236120626
2009-04-15,65502.95694207307,3484.14990234375,44421.26434625243
2009-04-16,67151.10234933533,3369.5,43641.41696730652
2009-04-17,67197.75957977539,3384.39990234375,43050.7979852478
2009-04-20,65818.0993068628,3377.10009765625,44586.82748413086
2009-04-21,66838.43156347051,3365.300048828125,44360.808579803444
2009-04-22,66585.63850140385,3330.300048828125,44456.2280307007
2009-04-23,66694.83894468937,3423.699951171875,44940.79536170047
2009-04-24,68127.05056593753,3480.75,45322.7822483154
2009-04-27,69094.29201356135,3470.0,45765.62837902224
2009-04-28,67920.31230878411,3362.35009765625,44524.826747180196
2009-04-29,67996.50730049377,3473.949951171875,44259.3615524231
2009-05-04,70414.13481039181,3654.0,44458.79713901365
2009-05-05,70205.2244572863,3661.89990234375,44559.638988439925
2009-05-06,70039.17834371189,3625.050048828125,44787.49374961853
2009-05-07,68310.1444608001,3683.89990234375,44972.2513961792
2009-05-08,68522.96780725103,3620.699951171875,44942.76259521488
2009-05-11,68774.76093347743,3554.60009765625,44986.247913360596
2009-05-12,68223.99817122798,3681.10009765625,45741.87686538696
2009-05-13,66663.24089459376,3635.25,46048.25348854065
2009-05-14,67184.01451017847,3593.449951171875,45854.33483886719
2009-05-15,66958.69290064974,3671.64990234375,45997.63084158627
2009-05-18,66057.18339866027,4323.14990234375,43697.25870217895
2009-05-19,66027.10860202182,4318.4501953125,43747.296417123405
2009-05-20,65826.78653269168,4270.2998046875,44255.44605636597
2009-05-21,64465.60286654206,4210.89990234375,44825.465859741205
2009-05-22,64266.65234581148,4238.5,45188.48293876648
2009-05-26,67111.68619901827,4116.7001953125,45280.825663919095
2009-05-27,66610.32757636718,4276.0498046875,45291.29799822997
2009-05-28,66710.54565606639,4337.10009765625,45160.69520187378
2009-05-29,67427.28734823782,4448.9501953125,45973.258359143045
2009-06-01,69322.71813021973,4529.89990234375,45926.67521530762
2009-06-02,69413.21724085137,4525.25,46103.23063221434
2009-06-03,69537.48601441644,4530.7001953125,45456.88603019714
2009-06-04,70109.5177091388,4572.64990234375,46084.02004506835
2009-06-05,70131.59082270786,4586.89990234375,45168.163563516224
2009-06-08,70335.615055589,4429.89990234375,44970.679108465556
2009-06-09,70798.08709342964,4550.9501953125,44981.10145568848
2009-06-10,70823.46698485874,4655.25,45186.211601257324
2009-06-11,70822.04371952452,4637.7001953125,45478.139303631615
2009-06-12,70488.98652483709,4583.39990234375,44475.1879662415
2009-06-15,69489.70489228517,4484.0,44208.49638156127
2009-06-16,69268.78220844269,4517.7998046875,44712.139833190944
2009-06-17,69821.57358909119,4356.14990234375,44859.91454212647
2009-06-18,69939.415233545,4251.39990234375,44932.873596191406
2009-06-19,70777.93441469967,4313.60009765625,45009.84522441402
2009-06-22,69321.831058566,4235.25,44733.79314274294
2009-06-23,68874.06604913995,4247.0,44671.49168757023
2009-06-24,70198.33279880136,4292.9501953125,45314.1253979858
2009-06-25,70892.48590405704,4241.85009765625,45110.605768087786
2009-06-26,71102.88381553348,4375.5,45187.46512609557
2009-06-29,70928.55378220556,4390.9501953125,44952.06033297116
2009-06-30,70689.3687582016,4291.10009765625,44363.58913515927
2009-07-01,70895.45114205685,4340.89990234375,45035.32009124756
2009-07-02,69233.42345764767,4348.85009765625,44552.608590255724
2009-07-06,69328.43266778626,4165.7001953125,44454.564056396484
2009-07-07,68605.24482013006,4202.14990234375,45359.80667618406
2009-07-08,68731.63283654116,4078.89990234375,44261.93772125244
2009-07-09,69151.48433685489,4080.949951171875,44760.94861173397
2009-07-10,69388.9966731104,4003.89990234375,44580.12532114866
2009-07-13,70572.47881021723,3974.050048828125,44955.40720822755
2009-07-14,70156.19123768061,4111.39990234375,44546.60385131836
2009-07-15,72754.0016410388,4233.5,45519.11554712523
2009-07-16,73871.76349283569,4231.39990234375,45479.52389652096
2009-07-17,74279.82025859132,4374.9501953125,45581.66128095705
2009-07-20,74658.57614135742,4502.25,45863.76908683777
2009-07-21,75235.56944915466,4469.10009765625,45858.035528381355
2009-07-22,75703.74671936035,4398.89990234375,46099.47004699707
2009-07-23,77081.160250647,4523.75,45940.08601951599
2009-07-24,76962.7623280976,4568.5498046875,45858.26443017577
2009-07-27,76979.59012295865,4572.2998046875,45885.187759683235
2009-07-28,77691.90007854253,4564.10009765625,45440.08639526367
2009-07-29,77221.17448365781,4513.5,44760.582004089374
2009-07-30,76671.66750312317,4571.4501953125,44525.54804918822
2009-07-31,76361.62178160157,4636.4501953125,45420.91625748901
2009-08-03,77286.85815566406,4711.39990234375,45409.80200878903
2009-08-04,77467.26833847351,4680.5,46023.97470474243
2009-08-05,76869.94080813974,4694.14990234375,45909.41785112303
2009-08-06,76604.28304965422,4585.5,45987.74838592834
2009-08-07,77523.36550233979,4481.39990234375,45824.99261901551
2009-08-10,77162.14795253426,4437.64990234375,45278.731384277344
2009-08-11,77002.79120537452,4471.35009765625,45669.842827154556
2009-08-12,77827.77760145627,4457.5,45684.93919896241
2009-08-13,78517.21618592832,4605.0,46026.08671444701
2009-08-14,77694.26820595097,4580.0498046875,45654.869132995605
2009-08-17,76192.92863378813,4387.89990234375,45490.13133581239
2009-08-18,77216.54377555847,4458.89990234375,45638.79863909609
2009-08-19,77620.79285066435,4394.10009765625,45859.47327167052
2009-08-20,78181.51367353275,4453.4501953125,45541.54804616701
2009-08-21,79322.59795976803,4528.7998046875,46166.33491129149
2009-08-24,79569.6489147516,4642.7998046875,45864.56762217102
2009-08-25,79984.48093816219,4659.35009765625,46067.041357040405
2009-08-26,80031.29290008545,4680.85009765625,46165.88204557495
