,0,1,2,3,4,5,6,7,8,9
2019-06-30,ADANIPOWER,PFC,MUTHOOTFIN,RECLTD,ADANIGREEN,DIVISLAB,ADANIENSOL,SHREECEM,ABB,SIEMENS
2019-07-31,ADANIPOWER,MUTHOOTFIN,DIVISLAB,RECLTD,VBL,PFC,ADANIENSOL,SHREECEM,BAJAJHLDNG,SIEMENS
2019-08-31,ADANIPOWER,MUTHOOTFIN,HDFCAMC,RECLTD,DIVISLAB,PFC,SIEMENS,VBL,PIDILITIND,BAJAJHLDNG
2019-09-30,ADANIPOWER,HDFCAMC,MUTHOOTFIN,SIEMENS,ADANIGREEN,ADANIENSOL,PIDILITIND,RECLTD,DMART,BPCL
2019-10-31,ADANIGREEN,HDFCAMC,BPCL,SIEMENS,MUTHOOTFIN,ADANIENSOL,DMART,PIDILITIND,SHREECEM,ADANIPOWER
2019-11-30,ADANIGREEN,HDFCAMC,BPCL,SIEMENS,MUTHOOTFIN,RECLTD,VBL,ADANIENSOL,PFC,SHREECEM
2019-12-31,ADANIGREEN,HDFCAMC,ADANIENSOL,MUTHOOTFIN,SIEMENS,BPCL,VBL,DLF,RECLTD,PIDILITIND
2020-01-31,ADANIGREEN,HDFCAMC,DLF,MUTHOOTFIN,ADANIENSOL,DMART,SHREECEM,SIEMENS,CHOLAFIN,VBL
2020-02-29,ADANIGREEN,HDFCAMC,MUTHOOTFIN,DMART,VBL,SHREECEM,SIEMENS,PIDILITIND,DIVISLAB,BPCL
2020-03-31,ADANIGREEN,DMART,HDFCAMC,DIVISLAB,PIDILITIND,MUTHOOTFIN,TORNTPHARM,SIEMENS,VBL,SHREECEM
2020-04-30,ADANIGREEN,DMART,HDFCAMC,MUTHOOTFIN,DIVISLAB,TORNTPHARM,PIDILITIND,VBL,BRITANNIA,BPCL
2020-05-31,ADANIGREEN,DMART,TORNTPHARM,DIVISLAB,HDFCAMC,ZYDUSLIFE,MUTHOOTFIN,BRITANNIA,PIDILITIND,UNITDSPR
