date,equity
2017-03-27,11961846.17
2017-04-03,11990033.88
2017-04-10,12315068.13
2017-04-17,12256678.03
2017-04-24,12316981.68
2017-05-01,12432219.11
2017-05-08,12297285.13
2017-05-15,12210815.16
2017-05-22,12351594.45
2017-05-29,12531148.08
2017-06-05,12685529.87
2017-06-12,12447127.48
2017-06-19,12568583.27
2017-06-26,12818918.41
2017-07-03,12768216.51
2017-07-10,12955501.32
2017-07-17,13074363.51
2017-07-24,13402584.44
2017-07-31,12728827.31
2017-08-07,13267153.4
2017-08-14,13341585.38
2017-08-21,14113418.66
2017-08-28,14574813.72
2017-09-04,15157471.99
2017-09-11,14764366.21
2017-09-18,14712060.2
2017-09-25,15518535.55
2017-10-02,15963616.9
2017-10-09,15992834.18
2017-10-16,16321012.41
2017-10-23,17023134.95
2017-10-30,17019002.01
2017-11-06,17037408.63
2017-11-13,17096398.71
2017-11-20,16937929.73
2017-11-27,17267360.8
2017-12-04,17264636.58
2017-12-11,17950926.92
2017-12-18,18355378.77
2017-12-25,19193784.18
2018-01-01,19783073.47
2018-01-08,19337460.45
2018-01-15,19650151.51
2018-01-22,18031292.67
2018-01-29,17587637.3
2018-02-05,17569470.55
2018-02-12,17556969.03
2018-02-19,17598916.07
2018-02-26,17317961.55
2018-03-05,17274206.38
2018-03-12,17016321.59
2018-03-19,17087714.77
2018-03-26,17188076.65
2018-04-02,17317745.26
2018-04-09,17545371.32
2018-04-16,17845054.14
2018-04-23,17669480.68
2018-04-30,17640976.87
2018-05-07,17456824.03
2018-05-14,17566247.23
2018-05-21,17506523.11
2018-05-28,17444598.59
2018-06-04,17601704.34
2018-06-11,17499473.4
2018-06-18,17380946.32
2018-06-25,17498171.63
2018-07-02,17837951.5
2018-07-09,17811248.51
2018-07-16,18122605.11
2018-07-23,18378818.46
2018-07-30,18469493.76
2018-08-06,18860586.96
2018-08-13,19037153.76
2018-08-20,19397553.29
2018-08-27,18985079.4
2018-09-03,18702583.21
2018-09-10,18150311.12
2018-09-17,17785647.97
2018-09-24,17463953.54
2018-10-01,17321535.27
2018-10-08,17336973.06
2018-10-15,17324118.07
2018-10-22,17354978.47
2018-10-29,17392861.1
2018-11-05,17383073.88
2018-11-12,17353683.02
2018-11-19,17375761.96
2018-11-26,17240405.96
2018-12-03,17269414.48
2018-12-10,17325430.38
2018-12-17,17354997.13
2018-12-24,17274142.19
2018-12-31,17341814.4
2019-01-07,17232998.01
2019-01-14,17149625.22
2019-01-21,17182919.09
2019-01-28,17164520.29
2019-02-04,16964396.45
2019-02-11,16987020.06
2019-02-18,16996971.05
2019-02-25,17057855.47
2019-03-04,17190647.18
2019-03-11,17145224.89
2019-03-18,17392713.37
2019-03-25,17339211.02
2019-04-01,17276649.63
2019-04-08,17358722.74
2019-04-15,17247540.62
